true_label,pred_label,text,prob_Shringara,prob_Hasya,prob_Karuna,prob_Raudra,prob_Veera,prob_Bhayanaka,prob_Bibhatsa,prob_Adbhuta,prob_Shanta,correct,model,fold
3,4,तेषां तद्वचनं श्रुत्वा पुत्राणां राजसत्तम:।।1.40.9।। समन्युरब्रवीद्वाक्यं सगरो रघुनन्दन।,0.0005841244,0.000116284435,0.0021940721,0.0005593312,0.9948367,0.0011343088,0.00012691323,0.00020384786,0.00024453158,False,MuRIL,2
4,3,यदिमांप्रतियुध्येरन् देवगन्धर्वदानवाः । नैवसीतांप्रदास्यामिसर्वलोकभयादपि ।।6.24.37।।,0.0009456509,0.0005558296,0.0018834908,0.76386654,0.22837378,0.0026631854,0.00077640964,0.00054697227,0.0003881728,False,MuRIL,3
3,7,हरीणांचाश्मनिकरैश्शरवर्षाच्चराघवात् । हन्यमानोदशग्रीवोविघूर्णहृदयोऽभवत् ।।6.105.27।।,0.00038109793,0.00012900242,0.00023578772,0.000418933,0.00035191068,0.00047229737,0.00020536667,0.9976562,0.00014927625,False,MuRIL,1
8,4,तपस्स्वाध्यायनिरतं तपस्वी वाग्विदां वरम् । नारदं परिपप्रच्छ वाल्मीकिर्मुनिपुङ्गवम् ।।1.1.1।।,0.0014364196,0.03747752,0.0006703015,0.0018942294,0.9007287,0.0021369315,0.001218059,0.019019384,0.035418376,False,MuRIL,4
2,3,ततोहतांस्तान् सहसानिशम्यराजामुमोहपरिप्लुताक्षः । पुत्रक्षयंभ्रातृवधं च घोरंविचिन्त्यराजाविपुलंप्रदध्यौ ।।6.73.2।।,0.00032365732,0.00037913502,0.019272862,0.9713074,0.0036277648,0.0034797324,0.0009684294,0.00027577317,0.0003651607,False,MuRIL,3
4,3,रामोऽथ सहसौमित्रिर्वनं गत्वा स वीर्यवान्।।3.68.32।। स्थूलान्हत्वा महारोहीननुतस्तार तं द्विजम्।,0.00031070644,0.00043337615,0.001003172,0.9764708,0.02038077,0.0005229301,0.0004890532,0.00018960435,0.00019960944,False,MuRIL,3
3,2,मातृरूपे ममामित्रे नृशंसे राज्यकामुके। न तेऽह मभिभाष्योऽस्मि दुर्वृत्ते पतिघातिनि।।2.74.7।।,0.0060260748,0.0013573423,0.8182392,0.1638262,0.0035146498,0.0041069263,0.0014987867,0.00080798706,0.0006227145,False,MuRIL,1
2,4,जीवितं धारयिष्यामि मासं दशरथात्मज। ऊर्ध्वं मासान्न जीवेयं सत्येनाहं ब्रवीमि ते।।5.38.67।।,0.004578149,0.0011855052,0.108279586,0.02071105,0.848128,0.01258053,0.0009201255,0.0015758947,0.0020411534,False,MuRIL,1
2,3,एवंलालप्यमानायांसीतायांतत्रराक्षसः । अभिचक्रामभर्तारमनीकस्थःकृताञ्जलिः ।।6.32.34।।,0.00052952854,0.00051286723,0.0052707465,0.98083246,0.010698468,0.0012684595,0.0005046447,0.00022615313,0.00015670308,False,MuRIL,3
3,2,तौपरस्परमासाद्ययत्तावन्योन्यसूदने । मार्जाराविवभक्ष्यार्थेऽवितस्थातेमुहुर्मुहुः ।।6.40.22।।,0.0012233211,0.00058114727,0.7869607,0.13118842,0.07193863,0.005139413,0.0019418383,0.0002646011,0.0007618517,False,MuRIL,2
4,3,ओषधीर्नावगच्छामिताअहंहरिपुङ्गव ।।6.102.34।। तदिदंशिखरंकृत्स्नंगिरेस्तस्याहृतंमया ।,0.00084950525,0.00062460674,0.02899052,0.9511232,0.013181421,0.0028850224,0.0015550938,0.00047077922,0.00031980182,False,MuRIL,3
4,3,अचिन्तयित्वाबाणौघान् शरीरेपतितान्शितान् । अकम्पनवधार्थायमनोदध्रेमहाबलः ।।6.56.12।।,0.00032092954,0.00030284122,0.000932006,0.97248083,0.024134092,0.0008742479,0.0005137446,0.00022818988,0.0002131394,False,MuRIL,3
3,4,सोऽस्त्रयुक्तेनबाणेननीलोवक्षसिताडितः । निर्धह्यमानस्सहसानिपपातमहीतले ।।6.59.90।।,0.0006614584,0.00031988995,0.0007031649,0.043833125,0.9524407,0.00089853903,0.00035332172,0.00051238015,0.00027743453,False,MuRIL,3
4,2,बद्धगोधाङ्गुलित्राणे प्रगृहीतशरासने। कथं पुरुषमानी स्यात्पुरुषाणां मयि स्थिते।।2.23.35।।,0.0032399083,0.00037034662,0.9917269,0.001889201,0.0010497008,0.00072203146,0.00030339518,0.00042574733,0.00027289515,False,MuRIL,1
4,7,ततःकाञ्चनमत्युच्चमृषभंपर्वतोत्तमम् । कैलासशिखरंचापिद्रक्ष्यस्यरिनिषूदन ।।6.74.30।।,0.0005219137,0.0002434872,0.00034320014,0.00065881223,0.0008798819,0.00065557135,0.0002511425,0.99548966,0.00095631956,False,MuRIL,1
3,4,ममर्दाश्वान्गजांश्चापिरथांश्चापिनगोत्तमः ।।6.67.11।। तानिचान्यानिरक्षांसिएवंचान्यगदिरेःशिरः ।,0.0015154367,0.00037499392,0.0015626386,0.01754257,0.9632956,0.011038267,0.00062681094,0.0033910281,0.00065274164,False,MuRIL,1
4,8,अथ काले गते तस्मिन् षष्ठेऽहनि समागते। सौमित्रिमब्रवीद्रामो यत्तो भव समाहित:।।1.30.7।।,0.00017796938,0.00019081966,0.00088465324,0.0004542718,0.004902817,0.0002488302,0.00010050486,0.00028022128,0.99275994,False,MuRIL,4
2,0,मुक्ताहाराऽवृताश्चान्याः काश्चिद्विस्रस्तवाससः। व्याविद्धरशनादामाः किशोर्य इव वाहिताः।।5.9.47।।,0.98890114,0.00040614384,0.007998908,0.00048826748,0.00048085966,0.00032517067,0.00043076757,0.00065931986,0.00030949566,False,MuRIL,3
8,0,अशीर्वादान्बहून् शृण्वन्सुहृद्भिस्समुदीरितान्।।2.17.7।। यथार्हं चापि सम्पूज्य सर्वानेव नरान्ययौ।,0.76539636,0.00040497186,0.2157891,0.0007614437,0.0049420623,0.0021188606,0.00044224484,0.0037265422,0.0064184386,False,MuRIL,5
4,7,पुष्पिताग्रैश्चतरुभिस्सेतुंबध्नन्तिवानराः । पाषाणांश्चगिरिप्रख्यागनिरीणांशिखराणिच ।।6.22.64।। दृश्यन्तेपरिधावन्तोगृह्यदानवसन्निभाः ।,0.00014537976,0.0001464651,0.0001622619,0.00046438788,0.00037928918,0.0004491065,0.0002519235,0.99783796,0.00016327741,False,MuRIL,1
3,4,तथापित्वांमयामुक्तस्सायोकोऽस्त्रप्रयोजितः । जीवितंपरिरक्षन्तंजीविताद्भ्रंशयिष्यति ।।6.59.88।।,0.0030985083,0.0005089706,0.0262845,0.049989056,0.90512705,0.012071393,0.00055205676,0.0011959932,0.0011724837,False,MuRIL,1
0,2,कदानुचारुबिम्बोष्ठंतस्याःपद्ममिवाननम् । ईषदुन्नम्यपास्यामिरसायनमिवातुरः ।।6.5.13।।,0.08514237,0.0003866018,0.90001196,0.0034934573,0.0050244727,0.0022768944,0.00044868776,0.0018114428,0.0014041398,False,MuRIL,1
3,4,शराभिघातसम्रब्दःसोऽभिजग्राहसायकान् । काकुत्स्थ: सुमहातेजायुगान्तादित्यतेजसः ।।6.105.8।।,0.00029706865,7.047263e-05,0.00075372594,0.006943305,0.98987913,0.0011517679,0.00027353078,0.00044451366,0.00018655811,False,MuRIL,2
0,7,अन्या कनकसङ्काशैर्मृदुपीनैर्मनोरमैः। मृदङ्गं परिपीड्याङ्गैः प्रसुप्ता मत्तलोचना।।5.10.42।।,0.043761965,0.0007155433,0.001438515,0.0011202099,0.0016739346,0.0010949105,0.0068312846,0.9414003,0.0019633276,False,MuRIL,2
2,4,सह नूनं मम भ्रात्रा पुरस्यास्य द्युतिर्गता। न हि राजत्ययोध्येयं सासारेवार्जुनी क्षपा।।2.114.28।।,0.0011351621,0.00029918103,0.05048168,0.001595436,0.9443392,0.0014266925,0.00025936423,0.00021865434,0.00024454476,False,MuRIL,2
8,4,तथा पौरजनस्यापि कर्तव्या बहुविस्तरा:। आवासा बहुभक्ष्या वै सर्वकामैरुपस्थिता:।।1.13.11।।,0.0023939859,0.00046697204,0.004977258,0.00042680118,0.988167,0.00065363286,0.00026759246,0.00046299858,0.0021837854,False,MuRIL,5
2,0,सुस्राव नयनैः स्त्रीणामस्रमायाससम्भवम्। मीनसङ्क्षोभचलितै स्सलिलं पङ्कजैरिव।।2.40.35।।,0.9951265,9.365194e-05,0.0027880573,0.0005530283,0.00055973674,0.00022033314,0.00022552098,0.00023532737,0.00019791772,False,MuRIL,2
0,5,"वृष्टिधाराः शनैर्घनैर्घनघोषमिश्रिताः।
दीपालोके मुखं पत्युः पत्नी पश्यति निर्वृतिः॥",0.0006645287,0.00036251542,0.00037343948,0.00014029285,0.00011634735,0.991446,0.000677869,0.00032731277,0.005891692,False,MuRIL,2
3,4,वाग्बलंत्यजदुर्बुद्धेक्रूरकर्मासिराक्षस ।।6.88.27।। अथकस्माद्वदस्येतत्सम्पादयसुकर्मणा ।,0.0010011308,0.00044615736,0.0013042532,0.035180613,0.948599,0.010545771,0.0005687383,0.0017323792,0.0006219432,False,MuRIL,1
4,8,सत्यवादी महेष्वासो वृद्धसेवी जितेन्द्रियः।।2.2.41।। स्मितपूर्वाभिभाषी च धर्मं सर्वात्मना श्रितः।,0.00062622095,0.00036091814,0.00110184,0.0002525421,0.0054136696,0.00025252835,0.00010916313,0.00027043294,0.99161255,False,MuRIL,3
2,3,हीयमानमथोऽपश्यत्सुग्रीवं वानरेश्वरम्। वीक्षमाणं दिशश्चैव राघवस्स मुहुर्मुहुः4.16.31।।,0.0019982867,0.0011251926,0.24759963,0.5798827,0.15732178,0.008621365,0.001407622,0.0009918149,0.0010515635,False,MuRIL,3
0,2,किं धावसि प्रिये दूरे दृष्टासि कमलेक्षणे। वृक्षैराच्छाद्य चात्मानं किं मां न प्रतिभाषसे।।3.60.26।।,0.16884217,0.0010360668,0.8220461,0.0009979985,0.0017760046,0.0027629987,0.0005656916,0.0014488335,0.0005240061,False,MuRIL,4
5,3,तस्यनानद्यमानस्यकुम्भकर्णस्यरक्षसः । श्रुत्वानिनादंवित्रस्ताःभूमिभूयोवितत्रसे ।।6.61.16।।,0.00013253005,0.00040867858,0.0002610601,0.99329174,0.00045189593,0.004500816,0.0006058682,0.00018322821,0.0001642231,False,MuRIL,4
3,0,पुरेव मे चारुदंतीमनिन्दितां दिशन्ति सीतां यदि नाद्य मैथिलीम्। सदेवगन्धर्वमनुष्यपन्नगं जगत्सशैलं परिवर्तयाम्यहम्।।3.64.75।।,0.99804014,0.00013105769,0.0006884437,0.00017977609,0.00035890585,0.00012233981,7.537885e-05,0.00032092014,8.302965e-05,False,MuRIL,5
4,7,सोऽहंरिपुविनाशायविजयायाविचारयन् । स्वयमेवगमिष्यामिरणशीर्षंतदद्भुतम् ।।6.59.5।।,0.00013901269,0.00012038624,6.256674e-05,0.00018148731,0.00085450284,0.00025541388,0.00016112809,0.99806565,0.00015982325,False,MuRIL,4
2,3,अवकीर्णं विमार्जन्ती भर्तारं रणरेणुना। अस्रैर्नयनजैश्शूरं सिषेचास्त्रसमाहतम्4.23.20।।,0.00036672247,0.00024881147,0.002402267,0.8310933,0.16183278,0.002749414,0.00084729155,0.00022253387,0.00023688945,False,MuRIL,4
8,2,सर्वथा हि नगन्तव्यमीदृशः क्व गमिष्यसि। देशकालौ प्रतीक्षस्व पक्षौ त्वं प्रतिपत्स्यसे4.62.12।।,0.00047761796,0.00050669647,0.98894507,0.0006981478,0.0073958873,0.0013051529,0.00022979497,0.000106058855,0.00033560774,False,MuRIL,2
4,3,तस्मिन्प्रवृत्तेतुमुलेविमर्देप्रहृष्यमाणेषुवलीमुखेषु । निपात्यमानेषु च राक्षसेषुमहर्षयोदेवगणाश्चनेदुः ।।6.69.65।।,0.00032165277,0.0002415088,0.00047664143,0.98763824,0.006651367,0.0036929108,0.00038742562,0.00042691547,0.00016342454,False,MuRIL,1
2,0,याचितो नो निवर्तस्व हंसशुक्लशिरोरुहैः। शिरोभिर्निभृताचार महीपतनपांसुलैः।।2.45.27।।,0.5536888,0.0010485409,0.43130705,0.0057734335,0.0045907884,0.00092215167,0.00082183786,0.0007264146,0.0011210075,False,MuRIL,3
7,0,हारनूपुरकेयूरपारिहार्यधराः स्त्रियः। विस्मिताः सस्मितास्तस्थुराकाशे रमणैः सह।।5.1.26।।,0.64821887,0.0010115509,0.0009819287,0.00063962775,0.0012351397,0.00091904105,0.00091071974,0.34555373,0.0005293452,False,MuRIL,5
5,7,तमद्रिशृङ्गप्रतिमंकिरीटिनंस्पृशन्तमादित्यमिवाऽत्मतेजसा । वनौकसःप्रेक्ष्यविवृद्धमद्भुतं 3 भयार्धितादुद्रुविरेततस्ततः ।।6.60.97।।,0.0003086663,0.00016875252,0.00013821034,0.0003103807,0.00070580875,0.0051828222,0.0005044351,0.99248976,0.0001911768,False,MuRIL,3
2,4,स्वपुरं चागमच्छ्रीमानिष्टयज्ञोमहीपति:।।1.41.25।। गङ्गायाश्चागमे राजा निश्चयं नाध्यगच्छत।,0.0005965773,0.000117481795,0.0012334716,0.00029254647,0.9960439,0.0003197661,0.000109325796,0.0006692267,0.0006177577,False,MuRIL,5
2,3,मनुजेन्द्रार्थरूपेणयदुक्ततुहनूमता । तदयुक्तमहंमन्येसागरस्येवशोषणम् ।।6.84.9।।,0.0011279472,0.0011626191,0.3966087,0.5933042,0.002291636,0.0019741312,0.002551678,0.00031735076,0.000661699,False,MuRIL,4
2,3,स गत्वा सागरं राजा गङ्गयाऽनुगतस्तदा । प्रविवेश तलं भूमेर्यत्र ते भस्मसात्कृता:।।1.44.1।।,0.00026464404,0.0005274338,0.011973143,0.9740132,0.0026212472,0.0033584707,0.0052658394,0.0007032159,0.0012728769,False,MuRIL,2
8,2,कोऽर्थंविमृशेदेकोधर्मेप्रकुरुतेमनः ।।6.6.9।। कःकार्याणिकुरुतेतमाहुर्मध्यमंनरम् ।,0.004803618,0.001588484,0.77852356,0.07738037,0.11739435,0.0083107995,0.0010232391,0.0031702537,0.0078052967,False,MuRIL,1
2,3,किंनुमेसीतयाकार्यंकिंकार्यंजीवितेनवा । शयानंयोऽद्यपश्यामिभ्रातरंयुधिनिर्जितम् ।।6.49.5।।,0.0006970249,0.00027422173,0.09539608,0.8853966,0.014856011,0.0020239558,0.0009193661,0.0001483773,0.00028828418,False,MuRIL,4
4,7,तं ते प्रदक्षिणं कृत्वा दिशापालं महागजम्।।1.40.15।। मानयन्तो हि ते राम जग्मुर्भित्त्वा रसातलम्।,0.00020329186,0.00012372385,8.3913736e-05,0.00015534424,0.0012106065,0.00041895814,0.00019589056,0.99692434,0.00068399985,False,MuRIL,2
3,4,शतानिसप्तचाष्टौ च सहस्राणि च वानराः । प्रकीर्णाःशेरतेभूमौकुम्भकर्णेनपोधिताः ।।6.67.6।।,0.00080091506,0.00057993893,0.0013569887,0.05428008,0.9275383,0.010996532,0.00082518597,0.0031499914,0.00047204376,False,MuRIL,1
8,4,विदितं ते महाराज इक्ष्वाकुकुलदैवतम्।।1.70.16।। वक्ता सर्वेषु कृत्येषु वसिष्ठो भगवानृषि:।,0.0020834291,0.003326367,0.002311349,0.0053860354,0.82263666,0.0014461982,0.0007159016,0.004805571,0.15728837,False,MuRIL,3
